"RK","PLAYER NAME",TEAM,"FANTASYPTS","0-19","20-29","30-39","40-49","50+","XPM","XPA"
"1","Brandon Aubrey",DAL,"11.0","0.0","0.6","0.3","0.6","0.6","2.8","2.8"
"2","Cameron Dicker",LAC,"10.0","0.0","0.4","0.8","0.7","0.3","2.0","2.1"
"3","Ka'imi Fairbairn",HOU,"12.9","0.0","0.5","0.7","1.1","0.6","1.9","1.9"
"4","Jake Bates",DET,"8.9","0.0","0.4","0.5","0.5","0.2","3.2","3.3"
"5","Chase McLaughlin",TB,"9.2","0.0","0.4","0.5","0.4","0.6","1.9","1.9"
"6","Tyler Loop",BAL,"8.5","0.0","0.6","0.6","0.5","0.1","2.6","2.7"
"7","Wil Lutz",DEN,"7.9","0.0","0.6","0.6","0.2","0.2","2.3","2.3"
"8","Chris Boswell",PIT,"8.9","0.0","0.4","0.1","0.6","0.5","2.5","2.5"
"9","Evan McPherson",CIN,"8.0","0.0","0.2","0.4","0.6","0.3","2.4","2.6"
"10","Harrison Butker",KC,"8.8","0.1","0.5","0.5","0.5","0.3","1.8","2.1"
"11","Cam Little",JAX,"9.6","0.0","0.3","0.5","0.5","0.5","2.9","3.0"
"12","Jake Elliott",PHI,"6.8","0.0","0.2","0.4","0.4","0.2","2.4","2.5"
"13","Jason Myers",SEA,"11.9","0.0","0.3","0.8","0.8","0.5","2.8","2.8"
"14","Will Reichard",MIN,"9.4","0.0","0.4","0.5","0.4","0.6","1.8","1.8"
"15","Brandon McManus",FA,"8.1","0.0","0.7","0.6","0.2","0.2","2.3","2.4"
"16","Eddy Pineiro",SF,"10.0","0.0","0.4","0.5","0.7","0.4","2.4","2.7"
"17","Chad Ryland",ARI,"7.6","0.0","0.3","0.4","0.4","0.4","2.1","2.1"
"18","Matt Gay",LV,"7.6","0.0","0.3","0.3","0.5","0.3","2.2","2.2"
"19","Joshua Karty",ARI,"7.3","0.0","0.4","0.4","0.4","0.1","2.9","3.3"
"20","Cairo Santos",CHI,"8.8","0.0","0.2","0.5","0.7","0.3","2.6","2.6"
"21","Daniel Carlson",LV,"6.1","0.0","0.3","0.4","0.4","0.3","1.2","1.3"
"22","Jason Sanders",NYG,"0","0","0","0","0","0","0","0"
"23","Andy Borregales",NE,"8.8","0.1","0.4","0.5","0.4","0.2","3.1","3.2"
"24","Tyler Bass",BUF,"0","0","0","0","0","0","0","0"
"25","Younghoe Koo",FA,"5.5","0.2","0.2","0.3","0.3","0.0","2.2","2.3"
"26","Joey Slye",TEN,"8.4","0.0","0.4","0.4","0.4","0.6","1.6","1.7"
"27","Michael Badgley",FA,"6.9","0.0","0.1","0.3","0.6","0.2","2.2","2.8"
"28","Nick Folk",ATL,"7.9","0.0","0.3","0.6","0.4","0.4","1.4","1.4"
"29","Blake Grupe",IND,"8.1","0.0","0.6","0.6","0.2","0.4","1.6","1.6"
"30","Jake Moody",WAS,"9.0","0.0","0.6","0.8","0.6","0.2","1.7","1.8"
"31","Matt Prater",FA,"7.2","0.0","0.3","0.5","0.4","0.1","3.1","3.3"
"32","Harrison Mevis",LAR,"9.1","0.0","0.3","0.3","0.6","0.1","4.3","4.3"
"33","Graham Gano",FA,"7.8","0.0","0.6","0.8","0.2","0.2","1.8","1.8"
"34","Riley Patterson",MIA,"7.8","0.0","0.3","0.5","0.6","0.2","2.0","2.1"
"35","Zane Gonzalez",MIA,"10.7","0.0","0.1","0.3","0.9","0.8","1.9","2.0"
"36","Ryan Fitzgerald",CAR,"6.5","0.0","0.4","0.5","0.5","0.1","1.6","1.8"
"37","Andre Szmyt",CLE,"6.6","0.0","0.2","0.6","0.3","0.3","1.5","1.5"
"38","Charlie Smyth",NO,"10.0","0.0","0.2","0.7","0.5","0.7","2.2","2.2"
"39","Parker Romo",FA,"6.9","0.0","0.3","1.0","0.1","0.1","1.7","1.9"
"40","Matthew Wright",FA,"5.5","0.0","0.3","0.3","0.8","0.0","1.0","1.0"
"41","Ben Sauls",NYG,"10.7","0.0","1.0","1.3","0.3","0.0","2.3","2.3"
"42","Justin Tucker",FA,"0","0","0","0","0","0","0","0"
"43","Lucas Havrisik",GB,"7.3","0.0","0.0","0.7","0.3","0.3","2.3","3.0"