"RK","PLAYER NAME",TEAM,"FANTASYPTS","COMP","ATT","PCT","YDS","TDS","INT","ATT","YDS","TDS","SACK"
"1","Josh Allen",BUF,"22.0","18.8","27.1","69%","215.8","1.5","0.6","6.6","34.1","0.8","2.4"
"2","Drake Maye",NE,"21.2","20.8","28.9","72%","258.5","1.8","0.5","6.1","26.5","0.2","2.8"
"3","Jalen Hurts",PHI,"19.1","18.4","28.4","65%","201.5","1.6","0.4","6.6","26.3","0.5","2.0"
"4","Matthew Stafford",LAR,"21.1","22.8","35.1","65%","276.9","2.7","0.5","1.7","0.1","0.0","1.4"
"5","Dak Prescott",DAL,"19.0","23.8","35.3","67%","267.8","1.8","0.6","3.1","10.4","0.1","1.8"
"6","Joe Burrow",CIN,"17.4","21.6","32.4","67%","226.1","2.1","0.6","1.8","5.1","0.0","2.1"
"7","Lamar Jackson",BAL,"17.1","14.8","23.2","64%","196.1","1.6","0.5","5.2","26.8","0.2","2.8"
"8","Brock Purdy",SF,"20.8","21.9","31.6","69%","240.8","2.2","1.1","3.7","16.3","0.3","1.2"
"9","Jaxson Dart",NYG,"17.6","15.4","24.2","64%","162.3","1.1","0.4","6.1","34.8","0.6","2.5"
"10","Jacoby Brissett",ARI,"16.8","22.5","34.6","65%","240.4","1.6","0.6","2.7","12.0","0.1","3.1"
"11","Caleb Williams",CHI,"19.1","19.4","33.4","58%","231.9","1.6","0.4","4.5","22.5","0.2","1.4"
"12","Trevor Lawrence",JAX,"20.6","20.1","32.9","61%","235.7","1.7","0.7","4.8","21.1","0.5","2.4"
"13","Jared Goff",DET,"17.9","23.1","34.0","68%","268.5","2.0","0.5","1.1","2.6","0.0","2.2"
"14","Bo Nix",DEN,"18.6","22.8","36.0","63%","231.2","1.5","0.6","4.9","20.9","0.3","1.3"
"15","Justin Herbert",LAC,"18.7","21.3","32.0","66%","232.9","1.6","0.8","5.2","31.1","0.1","3.4"
"16","Baker Mayfield",TB,"16.6","20.2","31.9","63%","217.2","1.5","0.6","3.2","22.5","0.1","2.1"
"17","Jordan Love",GB,"16.1","19.4","29.3","66%","225.4","1.5","0.4","3.1","13.3","0.0","1.4"
"18","Sam Darnold",SEA,"14.7","19.0","28.1","68%","238.1","1.5","0.8","2.1","5.6","0.0","1.6"
"19","C.J. Stroud",HOU,"15.5","19.5","30.2","65%","217.2","1.4","0.6","3.4","14.9","0.1","1.6"
"20","Tyler Shough",NO,"14.9","20.1","29.7","68%","216.7","0.9","0.5","4.1","16.9","0.3","2.8"
"21","Bryce Young",CAR,"14.3","19.0","29.9","64%","188.2","1.4","0.7","3.4","13.5","0.1","1.7"
"22","Aaron Rodgers",PIT,"14.6","20.4","31.1","66%","207.6","1.5","0.4","1.3","3.8","0.1","1.8"
"23","Marcus Mariota",WAS,"11.0","11.6","18.9","61%","141.3","0.8","0.6","4.2","24.8","0.1","1.3"
"24","J.J. McCarthy",MIN,"13.7","14.0","24.3","58%","163.2","1.1","1.2","3.7","18.1","0.4","2.7"
"25","Geno Smith",NYJ,"12.7","20.1","29.9","67%","201.7","1.3","1.1","2.7","7.3","0.0","3.7"
"26","Kirk Cousins",LV,"10.8","16.6","26.9","62%","172.1","1.0","0.5","1.4","0.7","0.1","1.3"
"27","Cam Ward",TEN,"11.4","19.0","31.8","60%","186.4","0.9","0.4","2.3","9.4","0.1","3.2"
"28","Shedeur Sanders",CLE,"11.9","15.0","26.5","57%","175.0","0.9","1.3","2.6","21.1","0.1","2.9"
"29","Tyrod Taylor",GB,"10.8","13.3","22.3","60%","129.8","0.8","0.8","4.5","23.8","0.2","2.3"
"30","Tua Tagovailoa",ATL,"12.5","18.6","27.4","68%","190.0","1.4","1.1","1.4","3.1","0.0","2.1"
"31","Philip Rivers",FA,"11.6","19.3","30.7","63%","181.3","1.3","1.0","0.7","-0.3","0.0","1.7"
"32","Quinn Ewers",MIA,"9.1","13.8","20.8","66%","155.5","0.8","0.8","2.0","4.8","0.0","2.0"
"33","Brady Cook",NYJ,"7.1","17.6","30.6","58%","147.8","0.4","1.4","2.6","9.8","0.0","3.8"
"34","Joe Flacco",CIN,"12.1","19.3","32.0","60%","190.7","1.2","0.8","1.6","2.7","0.1","1.4"
"35","Malik Willis",MIA,"12.8","7.5","8.8","86%","105.5","0.8","0.0","5.5","30.8","0.5","0.8"
"36","Chris Oladokun",KC,"3.7","11.7","18.3","64%","78.3","0.3","0.0","1.7","6.0","0.0","2.7"
"37","Dillon Gabriel",CLE,"7.2","11.0","18.5","59%","93.7","0.7","0.2","1.4","8.6","0.0","1.9"
"38","Mac Jones",SF,"12.4","18.3","26.3","70%","195.5","1.2","0.5","3.3","5.5","0.0","1.5"
"39","Spencer Rattler",NO,"11.6","19.3","28.6","68%","176.2","0.9","0.6","3.4","18.6","0.0","2.0"
"40","Kenny Pickett",CAR,"1.6","4.7","7.5","62%","31.3","0.2","0.3","0.8","3.7","0.0","1.3"
"41","Russell Wilson",FA,"8.8","11.5","19.8","58%","138.5","0.5","0.5","3.0","17.7","0.0","1.7"
"42","Jameis Winston",NYG,"15.1","12.3","22.0","56%","189.0","0.7","0.7","2.3","7.7","0.3","1.0"
"43","Josh Johnson",CIN,"5.3","6.8","10.8","63%","74.4","0.2","0.4","2.4","11.0","0.2","0.4"
"44","Max Brosmer",MIN,"1.2","6.7","10.1","66%","46.9","0.0","0.6","1.0","1.6","0.0","2.0"
"45","Riley Leonard",IND,"6.4","7.8","13.4","58%","83.0","0.4","0.6","1.2","5.4","0.4","0.4"
"46","Mason Rudolph",PIT,"3.4","7.6","10.4","73%","62.0","0.4","0.4","1.4","1.2","0.0","0.4"
"47","Tyler Huntley",BAL,"8.0","10.4","13.4","78%","85.2","0.4","0.0","4.8","30.2","0.0","1.6"
"48","Anthony Richardson Sr.",IND,"1.1","0.5","1.0","50%","4.5","0.0","0.0","2.0","-0.5","0.0","0.0"
"49","Andy Dalton",PHI,"2.6","6.3","9.3","68%","73.3","0.3","0.3","1.3","-0.5","0.0","2.0"
"50","Jake Browning",TB,"11.3","16.2","25.0","65%","154.2","1.2","1.6","1.8","7.8","0.2","1.8"
"51","Aidan O'Connell",LV,"4.8","10.0","22.0","45%","102.0","0.0","0.0","1.0","7.0","0.0","1.0"
"52","Davis Mills",HOU,"11.6","15.2","26.5","57%","152.5","0.8","0.2","2.2","10.0","0.2","1.3"
"53","Jalen Milroe",SEA,"-0.4","0.0","0.0","NaN%","0.0","0.0","0.0","0.8","1.0","0.0","0.0"
"54","Jimmy Garoppolo",LAR,"-0.2","0.0","0.0","NaN%","0.0","0.0","0.0","1.8","-2.0","0.0","0.0"
"55","Joe Milton III",DAL,"3.1","3.8","6.0","63%","45.8","0.3","0.5","1.3","12.5","0.0","0.0"
"56","Trey Lance",LAC,"3.6","6.8","14.3","47%","56.5","0.0","0.3","4.3","21.3","0.0","1.5"
"57","Bailey Zappe",NYJ,"0","0","0","0","0","0","0","0","0","0","0"
"58","Zach Wilson",NO,"0.3","1.5","2.8","55%","8.0","0.0","0.0","0.8","0.3","0.0","0.0"
"59","Kyle Allen",BUF,"-0.1","0.0","0.5","0%","0.0","0.0","0.0","0.8","-0.8","0.0","0.0"
"60","Cooper Rush",FA,"1.4","8.5","13.0","65%","75.8","0.0","1.0","1.0","-1.0","0.0","0.3"
"61","Sam Howell",DAL,"0","0","0","0","0","0","0","0","0","0","0"
"62","Tyson Bagent",CHI,"0.9","1.0","1.3","75%","15.7","0.0","0.0","0.7","2.3","0.0","0.0"
"63","Jeff Driskel",WAS,"0","0","0","0","0","0","0","0","0","0","0"